code,alpha,beta_mkt,beta_smb,beta_hml,t_alpha,r_squared,observations,name
000001,-0.056508705647497985,-1.2860775504225135,0.008470423050383313,-0.3458307084417389,-0.585451754653893,0.018617664856043437,13,深发展A
000002,-0.07689445473090852,-1.611631507929555,1.6929849610728946,-1.079759748620373,-0.9985357330940055,0.0557331805628416,13,万科A
000063,-0.4442029311366722,-12.711170510426676,-2.7916045276439023,-5.433676579394988,-0.5882468990515158,0.03031580928108546,13,中兴通讯
000100,-0.6054140037089976,-18.447233059822736,-0.6652481481457823,-6.923602656320699,-0.6232137677982005,0.03373320918843825,13,TCL集团
000157,-0.01303633501294826,-1.1543320344664092,0.5275881900826063,-0.6124790828885632,-0.2780796688560938,0.045443469526946556,13,中联重科
000166,-0.07410032494384526,-1.1804919681154833,0.11224639555255661,-0.5692516154648704,-0.782956147268766,0.013075969719444358,13,申万宏源
000301,-0.2483052754020062,-8.481211122927595,1.485122865894134,-3.4715731634100804,-0.6020017094524004,0.032981861599182594,13,东方盛虹
000333,-0.04727870714609051,-1.5127081438183434,-0.6272030886635029,-0.4686451051679271,-0.48812029424889364,0.034797228208611974,13,美的集团
000338,0.07046277378978441,1.5136808064642233,1.0026252384506356,0.9887509911216592,0.9648672149469537,0.06793593302988943,13,潍柴动力
000408,-65630.68806304985,-2237030.3898219327,55657.009333908005,-840378.0112784684,-0.6007714590239233,0.03712375762915643,13,藏格矿业
000425,-0.13237044415597812,-5.49518053810321,0.8638049888351473,-3.2186178219456996,-0.5654102045737881,0.04780518235794129,13,徐工科技
000538,-0.014179961886105256,-0.8568016728680594,-0.1752768586066417,-0.3554649282720328,-0.42126498707868243,0.06626324172196063,13,云南白药
000568,-0.056756949307771656,-0.9469805336134417,0.4570201741175396,-0.6722613293765181,-0.5677968455118205,0.010221673828550992,13,泸州老窖
000596,-0.07337169987336196,-0.8202069305707593,-0.5957866673156461,-0.9452796762689937,-0.73779356376387,0.02310950841481496,13,古井贡酒
000617,0.45447589413530287,19.485126413777117,-1.7122659085608947,6.704257289862341,0.6012618169020015,0.05647182499145009,13,中油资本
000625,-0.06315352600232532,-1.8142965793193693,0.4901184766143113,-0.6982356052496119,-0.6622089048033825,0.027112968833449824,13,长安汽车
000630,-55.88322383821186,-1903.981260215412,45.729223742073195,-716.6056575657657,-0.6006273234293633,0.037081293526025294,13,铜陵有色
000651,-0.05319534781475169,-1.2326309423361574,-0.8549790274132687,-0.12041857320160437,-0.6168498862780222,0.05014184723707649,13,格力电器
000661,-0.06051919027380262,-1.923044199863114,-1.1057201448874667,-1.7568621572661367,-0.601360033933965,0.07485599087730577,13,长春高新
000708,-1.5207699938646217,-52.194493462271765,1.4952979037459533,-19.558638247533697,-0.5941633242785781,0.03674522406389069,13,中信特钢
000725,-0.06605636344847207,-1.457156574159368,-0.2246349366761916,-0.7079204357209141,-0.7014792015365301,0.024047081737878617,13,京东方A
000768,-0.06425916405055133,-0.7735042769062226,-0.558519830803576,-0.15944174087368845,-0.6596413825255474,0.013961873609120046,13,西飞国际
000776,-0.11621682544636437,-2.801459237584352,-0.708929077677187,-1.5327836212636525,-0.5785983463275687,0.021665604952666007,13,广发证券
000792,73.44779405132425,2503.444330396281,-61.83071083791567,940.4558043421977,0.6009850733572173,0.03715362021297208,13,盐湖股份
000807,-139.88234076786296,-4768.8538558409155,118.85044500206057,-1791.8077855436663,-0.6005961431032536,0.03711397139957706,13,云铝股份
000858,-0.06385983559813359,-1.4371218444738016,-0.15985314066247197,-0.6529096099638456,-0.6641483287708444,0.021702761729173292,13,五粮液
000876,-0.04412596352497834,-2.5649671105091962,0.9983792741626097,-1.0378954310636657,-0.45843688077166506,0.049002024884635675,13,新希望
000895,-0.05462992274258147,-1.5520131457941557,-0.43614270193147286,-0.5068137567981904,-0.568547367832886,0.03220580485643565,13,双汇发展
000938,-0.39102827739974805,-11.006737033270296,0.025809230464436173,-5.025416954979959,-0.6312905168436573,0.02778805951835628,13,紫光股份
000963,-0.04564473613217962,-1.994685431491392,0.5470339827215123,-0.5741212305456571,-0.46893288792214677,0.03447985458011238,13,华东医药
000975,3490.473357238625,118970.40153816686,-2960.2034257622,44692.53393289554,0.6007787086605165,0.03712303133709405,13,山金国际
000977,4142.5873759549295,141201.60145079985,-3512.971336780792,53043.64522970322,0.6007723364028043,0.037124607775105734,13,浪潮信息
000983,-0.07122403756279773,-0.8268201456912072,-0.913436836220032,-0.4703375727954193,-0.7344228504315701,0.01717949574420763,13,山西焦煤
000999,-0.06896883202559814,-1.8585995503451533,-0.4053895297328034,-0.5737126686384372,-0.6563150715529209,0.037046313892268756,13,华润三九
001979,-0.06975395256934712,-2.3193052931939904,0.47343601047424555,-1.5262943860404858,-0.7375069024007315,0.05795425763075224,13,招商蛇口
002001,-0.08225464805547389,-2.2477974934614826,-0.4338475445045027,-0.8774699966427038,-0.5662489665376826,0.025696754963530744,13,新和成
002027,-0.060168388966481565,-0.5335616136592606,-1.4876716084223756,-0.5028535745370595,-0.6118304512645578,0.02188946636599476,13,分众传媒
002028,-7081.607778991413,-241379.4822283455,6004.0382673338945,-90678.97020939042,-0.6007677786123317,0.03712399498544472,13,思源电气
002049,2.03809340628387,70.21334086319409,-1.9656996592407336,25.504350974788032,0.5999785896910751,0.038098008768467584,13,紫光国微
002142,-0.04489146084955798,-1.1707379532904876,-0.5813281710220937,-0.31304425387505275,-0.4533026551510399,0.023037445084165276,13,宁波银行
