solution_id,orig_index_in_final,Ann_Return,Max_Drawdown,Factor_Score,Num_Stocks,Sharpe_Proxy,stocks
28,28,0.06630156707632473,0.008176666666666662,0.1282030649824945,30,8.107638740837823,2594;2920;300015;300308;301;425;600029;600183;600426;600570;601058;601066;601100;601166;601601;601698;601868;601872;601888;601995;603799;603993;605117;688082;688169;688187;792;876;975;977
26,26,0.06853849301847115,0.008949999999999998,0.15864381424151486,30,7.657076641545209,2384;2594;2920;300015;300308;301;425;600029;600183;600426;600489;600570;601066;601100;601166;601601;601698;601872;601881;601888;601995;603501;603799;603993;605117;688082;688169;688187;876;975
24,24,0.0637952387714491,0.008536779377777628,0.1577105967667892,30,7.472111417811655,2371;2384;2594;300015;300308;301;600011;600029;600031;600183;600426;600436;600570;601058;601066;601100;601166;601601;601698;601872;601881;601888;601995;603195;603799;603993;605117;688082;688187;975
31,31,0.0613165760990908,0.008306666666666681,0.15770810524359163,30,7.380721754895964,2384;2594;300015;300308;300759;301;600011;600029;600183;600426;600436;600570;600999;601058;601066;601100;601166;601601;601698;601872;601881;601888;601995;603195;603799;603993;605117;688082;688187;975
27,27,0.06957589540439302,0.00956058925671793,0.12825345467699859,30,7.276603662462212,2594;2920;300015;300308;301;425;600029;600183;600426;600522;600547;600570;601066;601100;601601;601698;601872;601888;601899;603369;603501;603799;603993;605117;688082;688169;688187;876;975;977
5,5,0.05923124537567537,0.008156666666666666,0.08736596616262784,30,7.260807262167537,2352;2371;2594;300015;300122;300308;300661;301;338;425;600029;600183;600426;600570;601058;601066;601100;601166;601601;601698;601868;601888;601916;603799;603993;605117;688082;688187;876;975
42,42,0.06613598332206383,0.009243735133333299,0.16207573532193467,30,7.153907858711981,2384;2594;2920;300015;300122;300308;301;425;600029;600183;600426;600570;601066;601100;601166;601601;601698;601868;601872;601888;601995;603799;603993;605117;688082;688169;688187;876;975;977
15,15,0.07068627306617015,0.009899394219415467,0.1289863458040793,30,7.13974327684333,2352;2594;2920;300308;300316;301;600029;600183;600426;600489;600522;600570;601066;601100;601166;601601;601698;601868;601872;601881;601888;601995;603799;603993;605117;688082;688169;688187;975;977
23,23,0.07120152347706576,0.00999751351111097,0.15864832054745662,30,7.121210907795664,2352;2384;2594;2920;300015;300308;301;338;600029;600031;600183;600426;600489;600570;601066;601100;601601;601698;601872;601888;601899;601995;603501;603799;603993;605117;688082;688169;688187;975
35,35,0.07482655964005613,0.01052991413333323,0.1224254373858919,30,7.105419215527507,2384;2594;2920;300015;300308;301;338;600029;600183;600426;600489;600522;600547;600570;601066;601100;601166;601601;601698;601888;603369;603501;603799;603993;605117;688082;688169;688187;792;975
21,21,0.0792896268894292,0.011290082391681616,0.12576291899745937,30,7.022322939370595,2352;2384;2594;2920;300308;300316;301;600029;600183;600426;600522;600547;600570;600999;601066;601100;601601;601698;601888;601899;603369;603501;603799;603993;605117;688082;688187;876;975;977
11,11,0.0689086574111526,0.01000840976666665,0.16208871087079563,30,6.884387692931936,2384;2594;2920;300015;300308;301;425;600029;600183;600426;600570;601066;601100;601166;601601;601698;601872;601881;601888;601995;603501;603799;603993;605117;688082;688169;688187;963;975;977
36,36,0.06677740394397524,0.009721505973261156,0.16202768037798052,30,6.868332519170111,1;2352;2384;2594;2920;300015;300308;301;425;600011;600029;600061;600183;600426;600436;600570;601066;601100;601601;601698;601872;601888;603799;603993;605117;688082;688187;963;975;977
22,22,0.07208943650848365,0.0105744593444446,0.16294009828880746,30,6.816671896748674,2352;2384;2594;2920;300015;300308;301;600029;600183;600426;600489;600522;600570;601058;601066;601100;601601;601698;601872;601888;603501;603799;603993;605117;688082;688169;688187;876;975;977
