solution_id,stock_code,industry,factor_score
5,300308,C39计算机、通信和其他电子设备制造业,1.0946150242108226
5,300661,C39计算机、通信和其他电子设备制造业,0.0026126049848803
5,301,C26化学原料和化学制品制造业,0.0026532942617612
5,338,C36汽车制造业,0.0026478385316346
5,425,C35专用设备制造业,0.0026127638702707
5,600029,G56航空运输业,0.0028342652095002
5,600183,C39计算机、通信和其他电子设备制造业,1.0946150242108226
5,600426,C26化学原料和化学制品制造业,0.0267106070731643
5,600570,I65软件和信息技术服务业,0.0028555819492672
5,601058,C29橡胶和塑料制品业,0.0026016322665322
5,601066,J67资本市场服务,0.0034509541433871
5,601100,C34通用设备制造业,0.0027616736191773
5,601166,J66货币金融服务,0.0026270518698685
5,601601,J68保险业,0.0028965958612127
5,601698,I63电信、广播电视和卫星传输服务,0.01805289382789
5,601868,E48土木工程建筑业,0.0026065263391855
5,601888,L72商务服务业,0.0065074608182295
5,601916,J66货币金融服务,0.0025906054731145
5,603799,C32有色金属冶炼和压延加工业,0.1470816931483099
5,603993,B09有色金属矿采选业,0.017332826482709
5,605117,C38电气机械和器材制造业,0.007562538746494
5,688082,C35专用设备制造业,0.0429665378551627
5,688187,C37铁路、船舶、航空航天和其他运输设备制造业,0.0028625161308551
5,876,C13农副食品加工业,0.002634572086134
5,975,B09有色金属矿采选业,0.1110131810855507
6,2,K70房地产业,0.002686629197084
6,2384,C39计算机、通信和其他电子设备制造业,1.0210268167017822
6,2475,C39计算机、通信和其他电子设备制造业,0.0190526405910756
6,2594,C36汽车制造业,0.002729104674505
6,300308,C39计算机、通信和其他电子设备制造业,1.0946150242108226
6,301,C26化学原料和化学制品制造业,0.0026532942617612
6,600029,G56航空运输业,0.0028342652095002
6,600050,I63电信、广播电视和卫星传输服务,0.0026854527782193
6,600183,C39计算机、通信和其他电子设备制造业,1.0946150242108226
6,600426,C26化学原料和化学制品制造业,0.0267106070731643
6,600489,B09有色金属矿采选业,0.0279271849738293
6,600547,B09有色金属矿采选业,0.005547905645881
6,600570,I65软件和信息技术服务业,0.0028555819492672
6,601066,J67资本市场服务,0.0034509541433871
6,601100,C34通用设备制造业,0.0027616736191773
6,601166,J66货币金融服务,0.0026270518698685
6,601601,J68保险业,0.0028965958612127
6,601698,I63电信、广播电视和卫星传输服务,0.01805289382789
6,601872,G55水上运输业,1.0946150242108226
6,601888,L72商务服务业,0.0065074608182295
6,603501,C39计算机、通信和其他电子设备制造业,0.0029912648341336
6,603799,C32有色金属冶炼和压延加工业,0.1470816931483099
6,603993,B09有色金属矿采选业,0.017332826482709
6,605117,C38电气机械和器材制造业,0.007562538746494
6,688082,C35专用设备制造业,0.0429665378551627
6,688169,C39计算机、通信和其他电子设备制造业,0.00384515187064
6,975,B09有色金属矿采选业,0.1110131810855507
6,977,C39计算机、通信和其他电子设备制造业,0.1313046935874331
7,2352,G60邮政业,0.0026348237557344
7,2384,C39计算机、通信和其他电子设备制造业,1.0210268167017822
7,2594,C36汽车制造业,0.002729104674505
7,2920,C39计算机、通信和其他电子设备制造业,0.0035875831574383
7,300015,Q84卫生,0.0026534099386199
7,300308,C39计算机、通信和其他电子设备制造业,1.0946150242108226
7,301,C26化学原料和化学制品制造业,0.0026532942617612
7,600011,D44电力、热力生产和供应业,0.0025773681591846
7,600029,G56航空运输业,0.0028342652095002
7,600183,C39计算机、通信和其他电子设备制造业,1.0946150242108226
7,600426,C26化学原料和化学制品制造业,0.0267106070731643
7,600489,B09有色金属矿采选业,0.0279271849738293
7,600570,I65软件和信息技术服务业,0.0028555819492672
7,600905,D44电力、热力生产和供应业,0.0025581694972939
7,601066,J67资本市场服务,0.0034509541433871
7,601100,C34通用设备制造业,0.0027616736191773
7,601601,J68保险业,0.0028965958612127
7,601668,E48土木工程建筑业,0.0025700926171941
7,601698,I63电信、广播电视和卫星传输服务,0.01805289382789
7,601872,G55水上运输业,1.0946150242108226
7,601888,L72商务服务业,0.0065074608182295
7,603799,C32有色金属冶炼和压延加工业,0.1470816931483099
7,603993,B09有色金属矿采选业,0.017332826482709
7,605117,C38电气机械和器材制造业,0.007562538746494
7,688082,C35专用设备制造业,0.0429665378551627
7,688169,C39计算机、通信和其他电子设备制造业,0.00384515187064
7,688187,C37铁路、船舶、航空航天和其他运输设备制造业,0.0028625161308551
7,688223,C38电气机械和器材制造业,0.0027148325928057
7,975,B09有色金属矿采选业,0.1110131810855507
7,977,C39计算机、通信和其他电子设备制造业,0.1313046935874331
8,2352,G60邮政业,0.0026348237557344
8,2384,C39计算机、通信和其他电子设备制造业,1.0210268167017822
8,2594,C36汽车制造业,0.002729104674505
8,2920,C39计算机、通信和其他电子设备制造业,0.0035875831574383
8,300015,Q84卫生,0.0026534099386199
