code,name,final_score,beta_mkt_std,beta_smb_std,beta_hml_std,beta_mkt,beta_smb,beta_hml
300308,中际旭创,1.0946150242108226,5.473104112908544,-5.473116292943305,5.473101025051939,10776256.07571497,-268110.98068533046,4048278.643901533
601872,招商轮船,1.0946150242108226,5.473104112908544,-5.473116292943305,5.473101025051939,1361787.955172975,-33882.09596463835,511577.15898091387
600183,生益科技,1.0946150242108226,5.473104112908544,-5.473116292943305,5.473101025051939,1461689.5882978304,-36367.0185054008,549107.6306954103
002384,东山精密,1.0210268167017822,5.105032941263104,-5.104982221431884,5.105032742985348,1117106.6677316555,-27793.414950170947,419659.2970073106
603799,华友钴业,0.14708169314830996,0.7350197448064298,-0.7348147612898095,0.7350055807410161,158444.383512895,-3941.1718620193847,59520.75989305965
000977,浪潮信息,0.13130469358743313,0.6564194009779585,-0.656360588451742,0.6564103622491414,141201.60145079985,-3512.971336780792,53043.64522970322
000975,山金国际,0.11101318108555072,0.5550796084456557,-0.5550833907971475,0.55507551623571,118970.40153816686,-2960.2034257622,44692.53393289554
600089,特变电工,0.0961793056367323,0.4809992298049492,-0.481046588625213,0.4809939071511092,102719.17715718014,-2556.112777296075,38587.39057056092
300274,阳光电源,0.056983023727933776,0.28582183251995824,-0.28625358926824196,0.28579303226414365,59902.553706062135,-1492.9384218718153,22500.681057041616
688082,盛美上海,0.042966537855162704,0.21459221966122968,-0.21445861055068527,0.21457438725689304,44276.70996203542,-1101.0835786653818,16631.47757708019
002709,天赐材料,0.030249813858188895,0.1512333319567295,-0.1512015185464845,0.15120140563254617,30377.48968928989,-755.8282653862168,11408.8434726644
600489,中金黄金,0.02792718497382935,0.139933751965368,-0.1400747466150943,0.1399231934341889,27898.66853286536,-695.0986774895295,10479.394137092197
600426,华鲁恒升,0.026710607073164395,0.13349126371263484,-0.13346171560477388,0.13349304733761166,26485.361472505563,-659.0049523299633,9949.47903069205
002475,立讯精密,0.01905264059107567,0.09586027920534512,-0.09614481295690082,0.09584160670744156,18230.14485338641,-455.3304155136973,6846.584186937896
601698,中国卫通,0.018052893827890003,0.0899830968731001,-0.08984522790782594,0.08998685309696783,16940.8505684244,-420.94746902126826,6364.087780815444
603993,洛阳钼业,0.01733282648270904,0.08701099795190784,-0.08717377490573086,0.08699679019809677,16288.852733950003,-406.3667585597812,6117.673550811897
605117,德业股份,0.007562538746494079,0.03795097958822536,-0.0380090742752388,0.03793624860040664,5526.416294060758,-138.02729525771116,2074.542690281765
601888,中国国旅,0.006507460818229579,0.03258540439356176,-0.03261131214210995,0.03258788119001678,4349.354729021448,-108.56647122621666,1633.7781037893285
600547,山东黄金,0.0055479056458810645,0.02764640443623957,-0.02759604792829375,0.027641344954422314,3265.872192931632,-81.19330938052337,1226.1288472673796
000792,盐湖股份,0.0048843597652502265,0.024170915856503772,-0.024048465515102098,0.024174904047799782,2503.444330396281,-61.83071083791567,940.4558043421976
688169,石头科技,0.0038451518706400685,0.0193893848375564,-0.01946595567566541,0.019382395632131046,1454.5062053572824,-36.81950940433563,545.5001425471198
300251,光线传媒,0.003705994513801383,0.013192746611050899,-0.01053059837331735,0.013201366266043513,95.13196787997722,11.949403091335023,36.11500805752977
002920,德赛西威,0.0035875831574383316,0.01771853215963797,-0.017598007270116168,0.017704088058644693,1087.9664781763483,-26.624302961643124,407.189049296906
601066,中信建投,0.003450954143387131,0.01716795517712623,-0.017126250403714988,0.017170225839117526,967.184831997122,-24.049468116403627,363.1929019909612
603260,合盛硅业,0.0031466675413248033,0.015253067713067673,-0.015016690643769566,0.015258078283041094,547.1104963395762,-12.535554138936734,205.6108097006492
603501,韦尔股份,0.0029912648341336064,0.014045275828107958,-0.013589084197061084,0.014044385881752174,282.15373871806787,-4.74372091705923,105.5891417157774
600588,用友软件,0.0029064301585949594,0.012737664036864724,-0.011841724466487442,0.012739402447101733,-4.700797025907495,4.793316149876079,-1.9559163959377328
601601,中国太保,0.002896595861212721,0.01459879287720442,-0.014662388940320764,0.014606378580599004,403.5803557065693,-10.601786054696715,151.90355142476486
600522,中天科技,0.0028790179723032815,0.014419309051481624,-0.014423764259075988,0.014409103201630635,364.2064759006112,-9.299379692516249,135.6458798468518
688187,时代电气,0.0028625161308551486,0.014531122491419881,-0.01463765433392262,0.014527470389994109,388.7353097779271,-10.466785313906094,145.40064440022698
600570,恒生电子,0.002855581949267297,0.013055684646262404,-0.01244842340912821,0.013060819730132869,65.06429294705264,1.481971494739757,24.532420132987134
600029,南方航空,0.0028342652095002425,0.014378663691565785,-0.014485946276463331,0.0143834820420528,355.28998713316173,-9.6387672807407,133.53441312434447
301236,软通动力,0.002812768002170861,0.012974970863973855,-0.012432243683162548,0.012977247387479083,47.35787984985307,1.570279954393172,17.645135429912703
601899,紫金矿业,0.002786716820905255,0.014191168900957033,-0.014312535034821246,0.014181267215155481,314.1587190651736,-8.692293918429147,116.86967644471898
300316,晶盛机电,0.0027697126532158934,0.013989647737690687,-0.014042133998607872,0.013965573104506123,269.9504455405122,-7.216453162697607,99.09409780654764
601100,恒立液压,0.002761673619177312,0.012749069340684913,-0.012217029770605856,0.012745882417380604,-2.198782930998923,2.7449110423486776,-1.4218952262435949
601360,三六零,0.00275425116852471,0.01281362895341291,-0.012337201629983668,0.01281681044831435,11.963843821772546,2.0890166336384115,4.4233584421008345
002594,比亚迪,0.0027291046745050412,0.012895196112694912,-0.01252155764013248,0.012897229655831868,29.85746466894109,1.0828070526700408,11.050789960483382
