code,name,final_score,beta_mkt_std,beta_smb_std,beta_hml_std,beta_mkt,beta_smb,beta_hml
000408,藏格矿业,8.221139048831352,8.221141512210393,8.22114160431543,8.221133178140207,2031774.1988670577,253672.40701541468,124470.15254371415
300308,中际旭创,8.221139048831352,8.221141512210393,8.22114160431543,8.221133178140207,3741275.734792198,467107.8335190243,229197.3566416016
300394,天孚通信,8.221139048831352,8.221141512210393,8.22114160431543,8.221133178140207,90212553.6363381,11263274.957898526,5526583.02390794
601698,中国卫通,6.599777353082427,6.5997782373711775,6.599790714267534,6.599758653880202,1172571.9270843216,146399.18917423114,71833.57490091141
600183,生益科技,2.5868327552266015,2.586846603965517,2.5868357208242947,2.586814952357429,470808.4113355195,58781.35315398383,28842.20279342625
300274,阳光电源,0.5561124980243157,0.556134415257763,0.5561689439059778,0.556015319615319,115686.5564904436,14444.292568330437,7085.888929907486
300476,胜宏科技,0.31213404014468427,0.3121231636844392,0.3121538799939615,0.3121184634725596,73014.96139998946,9116.529886903389,4472.978986939616
000807,云铝股份,0.07727155530298074,0.07725488809223233,0.07727004479172239,0.07729023652874029,31942.24901052721,3988.136124655312,1957.222864556992
600089,特变电工,-0.06094903210066165,-0.06094004567467749,-0.060943248334028,-0.06096573021549069,7775.337774953735,970.4223270431283,476.0623613269431
600346,恒力股份,-0.06283387392614707,-0.06283037701729653,-0.06283885587694507,-0.06283072823393365,7444.76509390343,929.0341153324504,456.08230933663526
300502,新易盛,-0.06405340142425156,-0.06406860068656961,-0.06403771897536137,-0.06405911209378712,7228.230082890794,902.858444152636,442.9224168642465
002028,思源电气,-0.0664362951235637,-0.06643246862852485,-0.06642510013579377,-0.06645504826896242,6814.847441655872,850.7329726797767,417.25433096170576
000630,铜陵有色,-0.07967513591100986,-0.07965868863881718,-0.07967648615731325,-0.07968978285479798,4501.905307973717,561.4055893994899,275.46829017883806
600426,华鲁恒升,-0.07984491332833457,-0.079847953892685,-0.07985457695693858,-0.07982898792584547,4468.807447831345,557.5172002937608,273.9769617541756
600438,通威股份,-0.09296930733035388,-0.09297897671035109,-0.09295735112539967,-0.09297557955696227,2172.512972940753,271.4345703170149,133.13521195738107
600219,南山铝业,-0.09956969541630135,-0.09958135731203403,-0.0995752714941676,-0.09955059875008031,1017.9182161353484,126.9405845600915,62.69587421189238
002938,鹏鼎控股,-0.10118324938488997,-0.10116951739898414,-0.10115701280790353,-0.10123196347344436,740.1878912745271,92.40524806122563,44.68311802916475
688303,大全能源,-0.10448026942889138,-0.10449388648002365,-0.10447018672992378,-0.10448009597638257,158.83711157608948,20.06625350971961,9.885302890306884
603260,合盛硅业,-0.10482345577292518,-0.10482154545632599,-0.10480798496601788,-0.10484599383206743,101.53757692604732,12.69085296164927,5.965374768437151
601066,中信建投,-0.10498860890458983,-0.10498784808400752,-0.10498853938307635,-0.10498946242052343,72.45531803368611,8.748673861109015,4.428370531446134
300866,安克创新,-0.10502276978503719,-0.10503243726888746,-0.10502036245308742,-0.10501631207711995,64.65776103439408,8.05385706539498,4.140725435089108
600115,东方航空,-0.10506174244171296,-0.10505810126224134,-0.10507257218469926,-0.1050509439638695,60.16975678975592,6.913923098903583,3.769707937517536
603259,药明康德,-0.1050653809334317,-0.10505067160454586,-0.1050504556561831,-0.10509999063198236,61.469022060512856,7.39680974279384,3.244262350361069
601600,中国铝业,-0.10510524151974703,-0.10512140309934395,-0.10512821146251579,-0.10505845334979175,49.09981495753382,5.699109295115723,3.689258564564903
300418,昆仑万维,-0.10511585306101556,-0.10512846094617274,-0.10511838663918979,-0.10509986707162604,47.8655703063274,5.913621982278025,3.2455860742037217
688223,晶科能源,-0.10512468477036617,-0.10513226859019079,-0.10509910613462595,-0.1051512057981952,47.19970656955626,6.334587602381632,2.6955852614282114
300782,卓胜微,-0.1051287822733202,-0.10510857819411801,-0.10512437176210736,-0.10515486703413954,51.34257695865807,5.78294433470668,2.656361796420183
000301,东方盛虹,-0.10521503563963952,-0.10521532633733166,-0.10521663128787324,-0.10521261741096907,32.674939648900086,3.768573375384365,2.0376718460269947
302132,中航成飞,-0.10524963751249164,-0.10539300296561735,-0.10522200435731892,-0.10514311626626287,1.6036464590997983,3.651259147244154,2.7822498406864016
603893,瑞芯微,-0.10528345608546537,-0.10529658416796521,-0.10524951566601641,-0.10531558189556414,18.464934067735825,3.0505842485475365,0.9345952019658252
002311,海大集团,-0.10529876884324013,-0.10528525123102597,-0.10529379523108028,-0.1053189179383341,20.44678733531712,2.083795516266349,0.8988555886651528
002463,沪电股份,-0.10530842988596535,-0.10531326209647608,-0.10531282864074266,-0.10529773266908489,15.54837260684065,1.668224903231862,1.125817106501644
600570,恒生电子,-0.10534030551124013,-0.1053509905429666,-0.1053104722545054,-0.1053693981551599,8.950590817457773,1.719673639455766,0.3580521418585141
300251,光线传媒,-0.10534581926575928,-0.10535438029353458,-0.1053359326148189,-0.10535044043923783,8.35780641607677,1.1637786247825572,0.5611494888769126
601601,中国太保,-0.10535258023845527,-0.10537035003331535,-0.10539011714103079,-0.10528476124016117,5.565089829314663,-0.019272503432395,1.2647823073872777
301236,软通动力,-0.10535841820203948,-0.10539215390987924,-0.1053158723079348,-0.10538141035300598,1.7521255248489305,1.601770249896241,0.2293633523213626
000999,华润三九,-0.10535980952322202,-0.10540138013474605,-0.10534704209676153,-0.10533526214697862,0.1386846314838282,0.9212170289732066,0.723757205058924
000617,中油资本,-0.10536136116793651,-0.10538948929188466,-0.10539193943980123,-0.10529246201483539,2.21810198865284,-0.0590601100982967,1.1822825530525112
