code,alpha,beta_mkt,beta_smb,beta_hml,t_alpha,r_squared,observations,name
000001,-0.018238864566470874,0.9722516288051481,-0.7064948432603737,0.535618988481346,-0.7851024971455938,0.09524304808611439,47,深发展A
000002,-0.03595051539967052,1.40823536401958,-0.9452002583622624,0.5391880661441304,-1.2427244994544284,0.11802888883555829,47,万科A
000063,0.016470311470609195,1.0225974904637942,-0.3323308362617853,-0.1431605300808967,1.1684177645904554,0.30252203654503007,47,中兴通讯
000100,-0.887863432536489,-7.19603313223815,-0.6277424954604243,-0.19785523867901011,-0.9368391629228231,0.004646520240709218,47,TCL集团
000157,-0.012623443636180391,0.5419462758486121,-0.016169088114045826,0.4115344747941368,-0.48956375047351475,0.019955505691934494,47,中联重科
000166,-0.017883226462026367,0.7537670405799168,-0.24897650952347467,0.40399860701152446,-0.7660255561432204,0.04636469378422192,47,申万宏源
000301,3.492969883359363,32.674939648900086,3.7685733753843644,2.0376718460269947,0.937177368600163,0.006038467495296129,47,东方盛虹
000333,-0.00980656030753076,0.6884965239419405,-0.890855004707968,0.19977808819885554,-0.41507521183999635,0.07645012699073184,47,美的集团
000338,-0.018775191284368064,0.9466210742635768,-0.11843776369146009,0.5734435330545138,-0.731319931176309,0.05779672815487058,47,潍柴动力
000408,224569.22409868042,2031774.1988670577,253672.40701541468,124470.15254371417,0.9373578981440496,0.0056972660295387945,47,藏格矿业
000425,-0.1902929322324161,-1.2009441743624398,-0.4437970250614976,-0.2929379545765327,-0.8605305927669018,0.0023034202436128526,47,徐工科技
000538,-0.007263071695529926,0.4848908005202288,-0.14587737721016253,0.18682331457454565,-0.6918125780094226,0.09398782816111406,47,云南白药
000568,-0.008744447495255056,1.0661042441909765,-1.177532727151405,-0.3053772154145264,-0.3440386270325186,0.15552378623172658,47,泸州老窖
000596,-0.006794844933531641,0.7263895937657825,-0.9780178834560327,-0.3991580546977241,-0.2580371393350491,0.09734025533358748,47,古井贡酒
000617,0.04173533899484135,2.21810198865284,-0.05906011009829678,1.1822825530525112,1.525626112131801,0.23530333815996052,47,中油资本
000625,-0.0018320666337771005,1.3248251780903613,0.008420359103426311,-0.05902269912003316,-0.061512124838006076,0.14292141681906334,47,长安汽车
000630,497.50168852970125,4501.905307973717,561.4055893994899,275.46829017883806,0.9373875699089809,0.0056995448851340225,47,铜陵有色
000651,-0.013066692522497501,0.65375532812302,-0.5310260733091426,0.4749579190922476,-0.5592820949805952,0.053102850392313994,47,格力电器
000661,-0.01593736381877598,0.9361528779997647,-0.5011413194902139,-0.5049888940833684,-0.6099797962588581,0.14123062879330484,47,长春高新
000708,-2.2021865041062134,-18.877494197305772,-2.6039281494602227,-0.8916720656520248,-0.9380935402721644,0.005260590135144905,47,中信特钢
000725,-0.016426379062571637,0.5720197059557323,0.0228372654766804,0.1296011272807897,-0.8680234598297244,0.05365908591786295,47,京东方A
000768,-0.01832947321321576,0.3942515610955007,0.6340055610656781,0.13518600659803773,-0.7570876941117345,0.05578139411035543,47,西飞国际
000776,-0.005620192322813249,1.191986733064054,-0.5559584556123776,0.18968081426094693,-0.30247738865246865,0.1935697702637177,47,广发证券
000792,-277.6385700738854,-2510.8086006404797,-313.7857402358073,-153.63862308424203,-0.9373396651713662,0.00569301700464242,47,盐湖股份
000807,3530.423095640664,31942.24901052721,3988.136124655312,1957.222864556992,0.9373634407272295,0.00569761073257502,47,云铝股份
000858,-0.014761664804241091,0.9871120690405633,-0.977697606808346,-0.21567509430247317,-0.6114641115234271,0.13646195053567423,47,五粮液
000876,-0.025192869995727597,0.5554220285670858,0.05668658930996598,0.15700430402922533,-1.0531546780351453,0.031740639261923276,47,新希望
000895,-0.020392808535422496,0.3127900996001509,-0.5104110336735,0.1258765371061034,-0.8860578926454291,0.025015947468149502,47,双汇发展
000938,-0.053698413245762716,0.43309043336555564,0.1468833939584612,-0.29759236966980446,-0.7140435724066845,0.007114064992915559,47,紫光股份
000963,-0.009161977825183049,0.2944206396107171,0.03783107165993166,-0.5169540843110936,-0.3570334011188742,0.06167961202160088,47,华东医药
000975,-2758.503930347442,-24957.520672605635,-3115.7429662922,-1529.2151336223867,-0.9373482791787414,0.005697100847510295,47,山金国际
000977,-1120.1216988866677,-10133.282893793626,-1264.54872007715,-620.7604108238787,-0.9373397461916493,0.005695774501821904,47,浪潮信息
000983,-0.014981594361932428,0.7104271351655954,-0.4206783292183919,0.6783871232890137,-0.5593121718296588,0.047638328174765654,47,山西焦煤
000999,-0.006731694814302067,0.13868463148382823,0.9212170289732066,0.723757205058924,-0.2484505212468801,0.05299088363152493,47,华润三九
001979,-0.014296268561334778,0.896921120494454,-0.8662761598816416,0.14833331782090028,-0.5611060073250798,0.08372038649722169,47,招商蛇口
002001,-0.0367373397056054,0.5490073668744961,-0.42556536534711686,0.2818141833229014,-0.8023646625522769,0.008840037725354577,47,新和成
002027,-0.012355975073262566,0.9919919680060465,-0.8551283869145163,0.16063594018305133,-0.5062151209378164,0.10176535970891176,47,分众传媒
002028,753.2025995516312,6814.847441655872,850.7329726797767,417.25433096170576,0.937393164742063,0.005698362061768991,47,思源电气
002049,-0.6076364146820508,-4.996987544635155,-0.3317324553540216,-1.0331318318541707,-0.9392137738937518,0.003833288941545887,47,紫光国微
002142,-0.01871050188052143,1.3404652111472024,-1.1052403379998288,0.7984848677751869,-0.778894125956534,0.17270826920690596,47,宁波银行
002179,0.12078456634118566,1.2450730248889177,0.3688428014010018,-0.4123913269475108,0.9768112772843836,0.014341662046359116,47,中航光电
